size,scoreNN,scoreFI,scoreSARP,scoreSANN,scoreSAFI
10,0.0,-9.44953441784607,31.47780930166652,-3.921295067303715,-9.716502545561713
20,0.0,-12.114915365245354,96.23670144410067,-2.965636021510642,-12.29651733334292
30,0.0,-12.575174621166004,154.4707345877539,-2.384470107602139,-12.882079510111605
40,0.0,-13.025629526993976,202.05662745265712,-1.804906437849831,-13.376743108128773
50,0.0,-14.062376167167061,240.45262757159813,-1.9321026608807859,-14.31678375988388
60,0.0,-13.58476167988939,275.0980600502271,-1.838433811162966,-13.883541785196101
70,0.0,-14.343625225515853,310.2502536533508,-1.4731020130120824,-14.560120629027073
80,0.0,-13.503712114916116,357.4121155256313,-1.5599680908677813,-13.718429714357145
90,0.0,-13.596166205013406,381.694011716751,-1.197725974809572,-13.79726988665804
100,0.0,-13.726177480621672,415.82517175185836,-1.0401929906283702,-13.953526565732494
200,0.0,-12.457750174254352,657.7121135732955,-0.5028225155788164,-12.534277475747299
300,0.0,-12.183298922433398,853.5997550945359,-0.36293334796371385,-12.244103876606475
400,0.0,-12.676374796338212,994.3087881278516,-0.20137611968591348,-12.708205770883364
500,0.0,-11.966581784159498,1147.4046436364097,-0.15806030581365765,-11.980777255409986
